name,note
MarShawn Lloyd,owner high - Jacobs handcuff (GB depth 2)
Dallas Goedert,TE - only TE in the plan
Jake Ferguson,TE punt option if Goedert gone
Travis Kelce,TE fallback
George Kittle,TE fallback
Patrick Mahomes,QB - owner backs him
Kyler Murray,QB late
Caleb Williams,QB
Brock Purdy,QB
Quentin Johnston,owner target - biggest board edge
Tre Tucker,owner target 13th
Christian Watson,owner high - big play
Jaylen Warren,PIT RB1 on depth chart
Kenny Gainwell,owner higher than board
Travis Hunter,board edge +46
