view_id,player,weight,q,confidence,rationale,date
v01_judkins,Quinshon Judkins,1,12.0,medium,"TRIMMED 08-18b from 12.36. Lead-back role confirmed but the digest flags that the unresolved Watson/Sanders QB battle SUPPRESSES ALL BROWNS PASS-CATCHER VALUE, and Dylan Sampson is the PPR change-up on a 43-yard catch-and-run. The receiving share that made this a PPR view is the part at risk.",2026-08-18b
v03_jt,Jonathan Taylor,1,17.58,medium,Daniel Jones healthy and efficient in camp; no competition for the lead job (Giddens/McGowan both dropping passes). Sized below the owner's enthusiasm because 0.73 team rush share has never repeated (0/11 since 2015) and the Colts staff has said on record they want to trim it.,2026-08-09
v04_cmc,Christian McCaffrey,1,17.2,low,"FALSIFIED 08-18b. The prior view (19.80) read 'injury fear overpriced; healthy all camp'. The owner's digest contradicts it directly: STILL not practicing as of ~Aug 16-17, roughly a full week out, labelled only 'tightness' with no firm diagnosis or timeline; Shanahan is confident for Week 1 but conceded it 'could be a month' if CMC plays through it; and a contract hold-in theory is openly floated ($12.5M non-guaranteed against a reset RB market). A no-diagnosis soft-tissue absence plus a contract overhang on a first-round price is a different object from the fear premium the old view was selling. Cut 19.80 -> 17.20, confidence -> low. Held ABOVE a full capitulation because Week 1 is still the stated plan.",2026-08-18b
v05_lamb,CeeDee Lamb,1,16.0,medium,"Owner's explicit number: Lamb and Pickens are both ~16 PPG receivers, not 20 PPG receivers, sharing one offence.",2026-08-09
v06_pickens,George Pickens,1,16.0,medium,"Owner's explicit number, same view from the other side. On the $27.3M franchise tag, contract year.",2026-08-09
v07_jsn,Jaxon Smith-Njigba,1,17.59,medium,"Owner has him 8th overall vs market 6th. Darnold's low pass volume, Seattle regression off a ceiling season, Kupp gone as a playmaker.",2026-08-09
v08_arsb,Amon-Ra St. Brown,1,19.28,medium,Owner has him 5th overall vs market 7th.,2026-08-09
v09_barkley,Saquon Barkley,1,15.99,medium,2024's ~480 touches explain the 2025 dip; full participant through Day 8 with no rest days reported. Mannion's under-centre misdirection scheme is volume-friendly. Note SS28: prior-season workload does not separate from mean reversion.,2026-08-09
v10_rice,Rashee Rice,1,17.8,medium,"TRIMMED 08-18b from 18.14. Digest confirms the thesis (no 2026 suspension, projected WR1) but adds 'some rust' off the knee surgery as of Aug 12 and a rested opener. Small haircut only.",2026-08-18b
v12_skattebo,Cam Skattebo,1,13.4,low,"DOWNGRADED 08-18b from 14.42. The old view claimed he 'now dominates carries vs the 2025 near-even split'. The digest says Tyrone Tracy is a TRUE co-starter, not a bell-cow, and Skattebo is a co-starter returning from the Oct 2025 ankle (first game back Aug 16, 4/19). Committee is the stated risk. Trending to Week 1, hence a trim rather than a fade.",2026-08-18b
v13_javonte,Javonte Williams,1,14.42,medium,"2025 is the representative season: 252 carries, 1201 yds, 4.77 YPC, 13 TD, 15.18 PPG. mu-hat is dragged down by 2023-24 Denver years (11.20/9.29). Re-signed 3yr/$24M, Dallas drafted no RB. Caveats: 54% team carry share is lead-back not bell-cow, and receptions fell 52 to 35.",2026-08-09
v14_devonta,DeVonta Smith,1,15.5,medium,REVERSED 08-18b. My own 08-18 fade to 14.90/low was based on a hamstring report without a return date. The owner's digest has him RETURNING TO PRACTICE Aug 17 after ~2 weeks and targeting the Patriots joint practices - arrow up. The A.J. Brown-traded WR1 thesis is restored; 15.50 rather than the original 15.69 only because two lost camp weeks are not free. Confidence back to medium.,2026-08-18b
v16_evans,Mike Evans,1,14.03,medium,"Pearsall out for the season (PCL surgery Aug 1), Kirk strained calf. The room collapsed around him; target volume has nowhere else to go.",2026-08-09
v17_djmoore,DJ Moore,1,14.18,medium,"Chicago chaos to Josh Allen. ""Spectacular"" camp; the answer to Buffalo’s post-Diggs perimeter void.",2026-08-09
v18_egbuka,Emeka Egbuka,1,14.6,medium,"REVISED 08-18: left practice with a minor toe issue. Thesis unchanged (Evans gone, co-featured with Godwin, 120-145 targets) so only a small haircut 14.86 -> 14.6; flagged for re-check before the draft.",2026-08-18
v20_gibbs,Jahmyr Gibbs,1,20.4,high,"Montgomery traded; snap share projected 67%->75%. Campbell on record ""bell cow""; RB2 is a $1.81M vet. Removes his only touch cap. High confidence - this is a role change, not a projection.",2026-08-09
v21_walker,Kenneth Walker,1,15.13,medium,"Bell-cow-leaning workload in an elite offence after Pacheco left; graded a free-agency steal, improved receiving opportunity under Reid.",2026-08-09
v22_jacobs,Josh Jacobs,1,13.93,low,"Age 28, ~2109 career touches, and a Nov 2025 knee issue that likely sapped the year (4.0 YPC, 929 yds, down from 1329). Groin in camp is minor.",2026-08-09
v23_pierce,Alec Pierce,1,11.31,low,"Active PUP, has not practiced since signing; ankle cleanup surgery late March. Week 1 is ""a goal, not a guarantee."" Offset: 4yr/$116M and in line for Pittman’s vacated targets.",2026-08-09
v15_achane,De'Von Achane,1,16.0,medium,Owner ranks him behind both Jonathan Taylor and Chase Brown. Replaces the earlier +1.0 vacated-target view (Hill and Waddle gone); owner does not buy the Miami passing-game funnel with QB Willis.,2026-08-09
v24_love,Jeremiyah Love,1,11.8,low,DOWNGRADED 08-18b from 13.40. High ankle sprain in preseason Week 1; out for the rest of the preseason and Week 1 uncertain with LaFleur non-committal. He was ascending past Allgeier before it. High ankle sprains routinely cost more than the initial estimate; Allgeier is the beneficiary.,2026-08-18b
v25_montgomery,David Montgomery,1,11.83,low,"New team (traded Detroit->Houston). Clear early-down and goal-line starter on a team that finished 22nd in rushing yards and 27th in rushing TDs, so the touch base is there. Tempered: Slater reported a genuine split with Woody Marks (~55-45), who owns the passing-down role.",2026-08-09
v28_tmac,Tetairoa McMillan,1,15.2,medium,"Owner is high on Bryce Young making another step in year 4. McMillan is the only conduit for that on our board and the report ties his ceiling directly to it: clear No. 1, 120-145 targets, primary red-zone option, Coker/Legette merely complementary, and Young ""has repeatedly praised his command of the offence.""",2026-08-10
v19_odunze,Rome Odunze,1,13.96,medium,"DJ Moore traded; ascended to WR1. Raised from the earlier +0.8 to include the owner’s view that Caleb Williams makes a leap, lifting the whole Chicago passing game. Still tempered: Burden is genuinely competing and Ben Johnson runs a democratic offence feeding Loveland and Kmet.",2026-08-10
v27_burden,Luther Burden III,1,13.0,low,"REVISED 08-18: groin injury, expected to miss the entire preseason, Chicago hopeful for Week 1. This is the mechanism behind his +5.1 ADP fade since 8/8. A second-year WR competing with Odunze for the post-DJ Moore role loses the most from missing camp reps. 13.9 -> 13.0, confidence -> low.",2026-08-18
v30_hampton,Omarion Hampton,1,16.3,high,"OWNER-SET 08-18c. Restored to the v2 value and confidence at the owner's direction, overriding my 08-18b downgrade to 14.80/medium. The owner's read: McDaniel's 'Hampton, Mitchell, Vidal all play, hot hand' is coachspeak that does not change the role, and Hampton's upside is not what a rotation quote prices. I had treated the quote as a ceiling cut; that judgement was mine, not his, and it is withdrawn. Evidence unchanged: competition evaporated (Najee Harris unsigned, Roman's rotation philosophy gone), McDaniel called him the most improved player in camp, Harbaugh 'a chance to have a big year', 3.34 yards after contact/att (10th), 35.5% breakaway (7th), 32 forced missed tackles on 125 carries.",2026-08-18c
v57,Malik Nabers,1,14.0,medium,"NEW 08-18: 9 of the Giants' first 10 camp practices, back in team drills in a red non-contact jersey, targeting Week 1 vs DAL on 9/13 - but no confirmed return date and the Giants are easing him into 11-on-11. The market already bid him from ADP 43.6 (7/13) to 27.8 (8/18) on the recovery news. Priced BELOW pi 14.88 not because the knee fails but because an ACL ramp caps early-season target volume and the current price assumes a clean full season.",2026-08-18
v58,Chuba Hubbard,1,8.8,medium,"NEW 08-18: hamstring injured in practice, MRI, declared week-to-week by Canales, out for the second preseason game; Brooks and Trevor Etienne split first-team reps with Dillon in support. Team 'hope' for Week 1 is not a plan. This is the mechanism behind Jonathon Brooks' -20.1 ADP rise. Large fade from pi 10.55.",2026-08-18
v59,Jaylen Warren,1,9.8,medium,"NEW 08-18: Pittsburgh is a genuine 1A/1B, not a lead job. Warren and Dowdle split first-team reps on alternating days, McCarthy repeatedly calls both 'four-down backs', OC Angelichio says both are 'very capable of carrying the load'. Warren also carries a hamstring but expects Week 1. FFC prices a lead back (rank 64); ESPN prices a committee (rank 117) and camp says ESPN is right.",2026-08-18
v60,Rico Dowdle,1,9.8,medium,"NEW 08-18: same view from the other side, deliberately symmetric. Neither Steeler is the lead; one backfield split two ways caps both. Faded equally so the view expresses the committee itself, not a preference between them.",2026-08-18
v61,Tony Pollard,1,10.4,low,"NEW 08-18: NOT a committee fade - Pollard is the confirmed lead with Spears backing up and Singleton third. The fade is smaller and different in kind: a lead role on a weak Tennessee offence with little receiving upside. FFC rank 70 vs ESPN 119 overstates it, so a mild trim from pi 10.99, low confidence.",2026-08-18
v71,Chris Olave,1,16.0,low,"OWNER-SET 08-18c, revised down from my 16.40/medium. Two owner constraints, both binding: (1) Jordyn Tyson's ~2-month absence is REPORTED, NOT CONFIRMED, so it cannot be priced as fact - hence confidence low, which expresses ~20% of the view rather than ~50%; (2) Olave must not sit above the running backs going in the second round, which 16.40/medium violated (theta 15.80 vs Barkley 15.72). At 16.00/low he lands ~15.35, below Barkley and below every second-round RB. The 4yr/$132M extension and the WR1 role are real; the target concentration behind them is contingent.",2026-08-18c
v72,Breece Hall,1,12.8,medium,"NEW 08-18b. Groin strain Aug 17, left practice, sent for imaging; Glenn downplayed it but Braelon Allen took 2 red-zone TDs the same day after Hall exited and had a 31-yard TD Aug 14. Faded from pi 14.36 for both the injury and the handcuff's live encroachment on the goal-line role.",2026-08-18b
v73,Bhayshul Tuten,1,9.6,medium,"NEW 08-18b. The digest explicitly corrects the lead-back premise: Tuten is a COMMITTEE co-starter, listed 'Tuten OR Rodriguez' on the depth chart, not the clear lead. Faded from pi 10.84.",2026-08-18b
v74,Jameson Williams,1,12.2,low,"NEW 08-18b. New 'minor' shoulder injury, missed practice Aug 15 and 17. Small fade from pi 12.72, low confidence - value intact if it stays minor, which is the stated expectation.",2026-08-18b
v75,Bucky Irving,1,13.6,medium,"NEW 08-18b. Fully cleared and 'full-go', locked lead back, sat the opener for rest only. Raised from pi 12.82 - the injury discount embedded in his price no longer has a referent.",2026-08-18b
v76,Chase Brown,1,16.9,medium,NEW 08-18b. Clear starter with the grip reinforced: backup Tahj Brooks underwhelmed in camp. Modest raise from pi 16.27.,2026-08-18b
v77,TreVeyon Henderson,1,10.8,low,"NEW 08-18b. New England's lead-back race is explicitly UNRESOLVED - both rested the opener and Stevenson took a red-zone TD in joint practice, keeping the goal-line role alive. Faded from pi 11.39; paired symmetrically with Stevenson so the view expresses the committee, not a preference.",2026-08-18b
v78,Rhamondre Stevenson,1,10.8,low,"NEW 08-18b. Symmetric counterpart to the Henderson view - same committee, same fade, no preference expressed. Faded from pi 11.33.",2026-08-18b
v40_chase,Ja'Marr Chase,1,19.3,high,"OWNER-SET 08-18c, q=19.30 high. Owner's structural view: the top three are Gibbs, Bijan, Chase and should not move; he is content with McCaffrey at 4. Chase carried NO view before this - pi 18.88 and rank 6 were pure model output. The mechanical cause of rank 6 is that m(ADP) is IDENTICAL at 18.08 for every WR from ADP 3.1 to 10.2 (the isotonic curve is flat across the top of the board, so price separates nobody up there), leaving mu-hat to do all the work - and Chase's 2025 was 19.6 PPG, his weakest since 2023, in the season the h=1 likelihood weights most heavily. OWNER'S HYPOTHESIS TESTED AND NOT SUPPORTED: he asked to see Chase with and without Burrow. In 2025 Chase went 20.12 PPG in 8 games with Burrow vs 19.08 in 8 without - a gap of only 1.04, against 2023's 18.97/12.17 gap of 6.80. The 2025 dip is therefore NOT mainly a backup-QB artifact; he was down with Burrow on the field (20.12 vs 23.71 in 2024). Rebuilding mu-hat on Burrow-only games gives 20.86 and pi 19.11 - rank 5, not 4, so the adjustment alone does not deliver the owner's ordering. The view is therefore an explicit owner override of the recency signal, not a data correction, and is logged as such: if Chase repeats ~19.6 PPG in 2026 this view is wrong and must be recorded wrong.",2026-08-18c
v41_london,Drake London,1,14.5,high,"OWNER-SET 08-18c, q=14.50 high, cut from pi 17.23. Owner would not take London inside the top 20 and rates him among his lowest views on the board. The model had him 9th on PRICE, not production: mu-hat is 15.66, by far the lowest in the top nine, but B=0.65 and m(ADP)=18.08 - the flat top of the isotonic curve gives his ADP of 10.2 the same market value as Nacua's 3.1. Supporting context (2026-08-18): Atlanta's QB job is an UNRESOLVED competition between Tua Tagovailoa and Michael Penix Jr. under new HC Kevin Stefanski installing a new system; Kyle Pitts is coming off a first All-Pro season (88-928) and Branch, Dotson and Zaccheaus add target competition. The $141M extension prices the player, not the 2026 projection. q sits just below his own mu-hat, i.e. the view says his recent production is the ceiling, not the floor.",2026-08-18c
